epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.22,1.28007,1.25241,1.89594,0.92009,0.73409,0.83918,0.90847,0.59464,0.69678,0.8033,0.84139,0.41455,1.1444,1.2091,1.43217,0.90539,0.00040008,0.00040008,0.00040008
2,257.63,1.14649,1.13985,1.00717,0.89949,0.7787,0.88631,0.92867,0.56917,0.77574,0.84359,0.88718,0.4059,1.15916,1.42705,1.27141,0.96067,0.000800657,0.000800657,0.000800657
3,423.981,1.07822,1.14839,0.84538,0.9053,0.87828,0.91671,0.9555,0.65435,0.83953,0.87061,0.89932,0.43879,1.03944,1.22418,0.88999,0.9172,0.00118473,0.00118473,0.00118473
4,635.09,1.05795,1.13987,0.78616,0.90017,0.93409,0.92493,0.96274,0.66342,0.8962,0.89093,0.91455,0.48656,1.01556,1.25978,0.77612,0.90297,0.0015523,0.0015523,0.0015523
5,803.71,1.06768,1.17783,0.74443,0.89987,0.96332,0.95976,0.97154,0.63886,0.93115,0.92803,0.93638,0.49617,1.08834,1.2412,0.75446,0.91307,0.00153497,0.00153497,0.00153497
