epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1921.87,0.79975,1.07214,0.63703,0.85411,0.89005,0.92554,0.95786,0.73839,0.87833,0.92392,0.93466,0.52959,0.79892,1.05062,0.71109,0.87412,0.0008516,0.0008516,0.0008516
31,1974.87,0.79365,1.09967,0.63561,0.85446,0.89432,0.90956,0.95442,0.7468,0.8914,0.9198,0.94215,0.53711,0.76833,1.05921,0.70983,0.86792,0.000812,0.000812,0.000812
32,2027.46,0.79471,1.10533,0.63222,0.85968,0.89418,0.90785,0.95452,0.74062,0.89397,0.90102,0.93685,0.54939,0.79067,1.04773,0.71031,0.86908,0.0007724,0.0007724,0.0007724
33,2079.88,0.79031,1.09069,0.62683,0.84316,0.89959,0.91126,0.95453,0.7375,0.89401,0.8942,0.93466,0.53401,0.77858,1.02957,0.69995,0.86775,0.0007328,0.0007328,0.0007328
34,2134.02,0.82316,1.09617,0.63089,0.85468,0.90093,0.90008,0.94561,0.72299,0.89307,0.88737,0.92857,0.51511,0.82151,1.05697,0.71022,0.87042,0.0006932,0.0006932,0.0006932
35,2187.8,0.83264,1.03146,0.63324,0.86042,0.89823,0.8959,0.94456,0.72438,0.89834,0.88567,0.93212,0.51909,0.82091,1.0832,0.70896,0.86869,0.0006536,0.0006536,0.0006536
36,2243.33,0.82073,1.11471,0.62834,0.85461,0.89049,0.90444,0.9515,0.73988,0.89003,0.90273,0.93958,0.53854,0.76514,1.08678,0.6869,0.86038,0.000614,0.000614,0.000614
37,2299,0.79799,1.06649,0.62017,0.84964,0.87967,0.91073,0.95344,0.74054,0.8912,0.89458,0.93892,0.53376,0.7721,1.08145,0.68762,0.86133,0.0005744,0.0005744,0.0005744
38,2354.65,0.79799,1.09597,0.61807,0.84944,0.88511,0.91809,0.95424,0.74478,0.87997,0.90075,0.93401,0.53276,0.76804,1.07415,0.67618,0.86218,0.0005348,0.0005348,0.0005348
39,2417.6,0.77897,1.06815,0.60553,0.84495,0.88303,0.92753,0.95731,0.74751,0.89106,0.90728,0.94275,0.53568,0.75894,1.06037,0.665,0.86072,0.0004952,0.0004952,0.0004952
40,2482.36,0.7651,1.09458,0.6128,0.84576,0.89506,0.91701,0.95761,0.75135,0.89772,0.90102,0.93755,0.53599,0.74128,1.03233,0.6583,0.85939,0.0004556,0.0004556,0.0004556
41,2536.1,0.74853,1.09127,0.65514,0.84064,0.88988,0.92833,0.95767,0.75214,0.88815,0.90956,0.93817,0.53455,0.73511,1.0349,0.65004,0.8584,0.000416,0.000416,0.000416
42,2605.47,0.7344,1.05431,0.63237,0.85321,0.89185,0.92877,0.95869,0.75673,0.88278,0.91297,0.93788,0.52507,0.72475,1.05176,0.64815,0.8583,0.0003764,0.0003764,0.0003764
43,2674.59,0.74756,1.05208,0.62372,0.84269,0.89477,0.92491,0.95606,0.74935,0.882,0.9184,0.93976,0.53335,0.7313,1.05091,0.65703,0.85982,0.0003368,0.0003368,0.0003368
44,2747.65,0.73698,1.04573,0.60268,0.84636,0.8726,0.91809,0.9459,0.7331,0.86673,0.91003,0.92921,0.54112,0.74728,1.06012,0.71112,0.86493,0.0002972,0.0002972,0.0002972
45,2819.88,0.72156,1.02054,0.59265,0.85063,0.87247,0.92229,0.94455,0.73073,0.86366,0.908,0.92589,0.54879,0.75324,1.05574,0.72478,0.86536,0.0002576,0.0002576,0.0002576
46,2896.15,0.72848,1.06506,0.60024,0.84682,0.87224,0.92037,0.94931,0.73865,0.86577,0.91354,0.92759,0.55187,0.74746,1.04493,0.71519,0.86487,0.000218,0.000218,0.000218
47,2966.13,0.72655,1.03429,0.59112,0.83992,0.86869,0.92569,0.95135,0.74712,0.87245,0.92213,0.93664,0.55244,0.74233,1.0406,0.70107,0.8654,0.0001784,0.0001784,0.0001784
48,3037.39,0.72584,1.04736,0.59107,0.84115,0.88168,0.93686,0.95559,0.75667,0.87251,0.92262,0.93777,0.54758,0.7271,1.0366,0.6605,0.86368,0.0001388,0.0001388,0.0001388
49,3113.96,0.71004,0.99483,0.57883,0.83859,0.88434,0.93515,0.95545,0.75714,0.87388,0.92321,0.93784,0.5439,0.72194,1.03436,0.64672,0.86313,9.92e-05,9.92e-05,9.92e-05
50,3183.87,0.70212,1.00243,0.577,0.83949,0.88562,0.93815,0.95506,0.75677,0.87859,0.92662,0.93775,0.547,0.72219,1.03634,0.63911,0.86306,5.96e-05,5.96e-05,5.96e-05
